ID,adj.P.Val,P.Value,F,Gene.symbol
1569029_at,0.01056403,4.68E-04,8.25067,METAP1D
1556203_a_at,0.01058239,4.69E-04,8.2476,SRGAP2
232165_at,0.01058295,4.70E-04,8.24647,EPPK1
222582_at,0.01058295,4.70E-04,8.24635,PRKAG2
211793_s_at,0.01058733,4.70E-04,8.24517,ABI2
213203_at,0.01059029,4.70E-04,8.24418,SNAPC5
1564318_at,0.01060433,4.71E-04,8.24171,POLR3A
218111_s_at,0.01060438,4.71E-04,8.24111,CMAS
209225_x_at,0.0106111,4.72E-04,8.23916,TNPO1
213933_at,0.0106111,4.72E-04,8.23849,PTGER3
225458_at,0.0106111,4.72E-04,8.23845,PP7080
213158_at,0.01061435,4.73E-04,8.23742,ZBTB20
205110_s_at,0.01061594,4.73E-04,8.23663,FGF13
230151_at,0.0106322,4.74E-04,8.23386,SPRYD7
1557380_at,0.01063904,4.74E-04,8.23235,AGAP11
211981_at,0.01064458,4.75E-04,8.23103,COL4A1
222172_at,0.01065826,4.75E-04,8.22861,NPAS3
243819_at,0.0106629,4.76E-04,8.22724,
216109_at,0.0106629,4.76E-04,8.22682,MED13L
218991_at,0.0106669,4.76E-04,8.2257,HEATR6
208110_x_at,0.01067204,4.77E-04,8.22443,MED25
1555192_at,0.01068198,4.78E-04,8.22197,ZNF277
241382_at,0.01068198,4.78E-04,8.22194,PCP4L1
237658_at,0.01068479,4.78E-04,8.22098,
224932_at,0.01068816,4.78E-04,8.21995,CHCHD10
240512_x_at,0.0107011,4.79E-04,8.21764,KCTD4
229302_at,0.0107123,4.80E-04,8.21508,TMEM178A
232746_at,0.0107123,4.80E-04,8.21499,ACKR3
222978_at,0.01073324,4.81E-04,8.21163,SURF4
214608_s_at,0.01074075,4.82E-04,8.21005,EYA1
238422_at,0.01074103,4.82E-04,8.20913,LBX2-AS1
219478_at,0.01074103,4.82E-04,8.20885,WFDC1
217863_at,0.01075491,4.83E-04,8.20643,PIAS1
239741_at,0.01075583,4.83E-04,8.20573,PYGO1
1553693_s_at,0.01076334,4.84E-04,8.20416,CBR4
241154_x_at,0.01076636,4.84E-04,8.20318,
231532_at,0.01076666,4.84E-04,8.20243,NCAM1
215706_x_at,0.01076666,4.85E-04,8.20161,ZYX
242706_s_at,0.01076666,4.85E-04,8.20124,MED23
206436_at,0.01076666,4.85E-04,8.20009,MPPED1
226462_at,0.01076666,4.85E-04,8.19936,STXBP6
237768_x_at,0.01076666,4.85E-04,8.19934,
219933_at,0.01076666,4.85E-04,8.19909,GLRX2
213672_at,0.01077453,4.86E-04,8.19748,MIR6758///MARS
1568702_a_at,0.01081111,4.88E-04,8.19166,PAAF1
1555705_a_at,0.01081111,4.88E-04,8.1915,CMTM3
1555078_at,0.01082037,4.89E-04,8.18971,ZNF843
229156_s_at,0.01082178,4.89E-04,8.18895,PRKAG2-AS1
205440_s_at,0.01084831,4.90E-04,8.18489,NPY1R
231698_at,0.01084901,4.91E-04,8.18376,LOC647115
1553822_at,0.01084901,4.91E-04,8.18338,RTP1
243792_x_at,0.01084901,4.91E-04,8.18308,PTPN13
225792_at,0.0108704,4.92E-04,8.1797,HOOK1
215604_x_at,0.01087667,4.93E-04,8.17787,
205546_s_at,0.01087667,4.93E-04,8.17755,TYK2
219960_s_at,0.01087667,4.93E-04,8.17716,UCHL5
218831_s_at,0.01089013,4.94E-04,8.17483,FCGRT
219072_at,0.01090815,4.95E-04,8.17168,BCL7C
209598_at,0.01090815,4.95E-04,8.17134,PNMA2
243009_at,0.01091197,4.95E-04,8.17008,
1556121_at,0.01091197,4.96E-04,8.1697,NAP1L1
1557718_at,0.01093725,4.97E-04,8.16556,PPP2R5C
1556685_at,0.01093725,4.97E-04,8.16512,
212246_at,0.01093725,4.97E-04,8.1644,MCFD2
231989_s_at,0.01093725,4.98E-04,8.16377,LOC101060604///NPIPA5///SMG1P3///NPIPB5///SMG1P1///LOC613037///NPIPB4///SLC7A5P1///NPIPB3
209767_s_at,0.01093725,4.98E-04,8.16356,SEPT5-GP1BB///SEPT5///GP1BB
223927_at,0.01094163,4.98E-04,8.16242,PCDHB9
238304_at,0.01094616,4.99E-04,8.16126,
229288_at,0.01094811,4.99E-04,8.1601,EPHA7
216187_x_at,0.01094811,4.99E-04,8.15987,
242440_at,0.01095738,5.00E-04,8.15782,
238774_at,0.01095738,5.00E-04,8.15753,
244134_at,0.01098837,5.01E-04,8.15296,
222005_s_at,0.01099671,5.02E-04,8.15131,GNG3
231316_at,0.01099748,5.02E-04,8.15065,
243741_at,0.01100193,5.03E-04,8.1495,
204817_at,0.01101249,5.03E-04,8.14758,ESPL1
214848_at,0.01102364,5.04E-04,8.14558,YWHAZ
227891_s_at,0.01104215,5.05E-04,8.14263,TAF15
213295_at,0.01105868,5.06E-04,8.1398,CYLD
217250_s_at,0.01105868,5.06E-04,8.13938,CHD5
219573_at,0.01106499,5.07E-04,8.138,CARMIL1
243602_at,0.01106595,5.07E-04,8.13731,MGC40069
215303_at,0.01106595,5.07E-04,8.13644,DCLK1
219976_at,0.01106595,5.07E-04,8.13618,HOOK1
243006_at,0.01108055,5.08E-04,8.13375,FYN
235693_at,0.01108057,5.08E-04,8.13319,
1556821_x_at,0.01109446,5.09E-04,8.13085,DLEU2
211048_s_at,0.01110424,5.10E-04,8.12903,PDIA4
215986_at,0.01110424,5.10E-04,8.12847,
243937_x_at,0.01110678,5.10E-04,8.12758,AGAP6
91952_at,0.01112512,5.12E-04,8.12469,DCAF15
219300_s_at,0.01114429,5.13E-04,8.12169,CNTNAP2
223590_at,0.01115283,5.13E-04,8.12004,ZNF700
203254_s_at,0.01116419,5.14E-04,8.11804,TLN1
1559759_at,0.01118336,5.15E-04,8.11495,KIFC3
1558678_s_at,0.01118336,5.15E-04,8.11405,MALAT1
227181_at,0.01118336,5.15E-04,8.11393,LNP1
223388_s_at,0.0111934,5.16E-04,8.1121,ZFYVE1
215635_at,0.01121297,5.17E-04,8.10852,
204111_at,0.01121297,5.17E-04,8.1085,HNMT
207172_s_at,0.01122595,5.18E-04,8.10631,CDH11
219213_at,0.01122624,5.19E-04,8.10507,JAM2
236472_at,0.01122624,5.19E-04,8.10479,
202701_at,0.01122624,5.19E-04,8.10415,BMP1
230447_at,0.01122624,5.19E-04,8.10358,FAXC
232215_x_at,0.01122624,5.19E-04,8.10348,PRR11
212920_at,0.01123596,5.20E-04,8.10106,REST
205279_s_at,0.01123596,5.20E-04,8.1006,GLRB
223802_s_at,0.01123596,5.20E-04,8.10058,RBBP6
235125_x_at,0.01123828,5.21E-04,8.09945,MIGA1
215747_s_at,0.01123828,5.21E-04,8.09917,RCC1
226650_at,0.01123955,5.21E-04,8.09754,ZFAND2A
217445_s_at,0.01123955,5.22E-04,8.09699,GART
218338_at,0.01123955,5.22E-04,8.09597,PHC1
240260_at,0.01123955,5.22E-04,8.09595,
204360_s_at,0.01123955,5.22E-04,8.09514,NAGLU
233702_x_at,0.01123955,5.23E-04,8.09444,
235573_at,0.01123955,5.23E-04,8.09443,HSPH1
229463_at,0.01123955,5.23E-04,8.09385,NTRK2
207078_at,0.01123955,5.23E-04,8.09367,MED6
212067_s_at,0.01123955,5.23E-04,8.09345,C1R
202627_s_at,0.01125041,5.24E-04,8.09084,SERPINE1
202028_s_at,0.01125041,5.24E-04,8.09056,RPL38
211340_s_at,0.01125041,5.24E-04,8.09025,MIR6756///MCAM
1558557_at,0.01125041,5.24E-04,8.08986,C16orf62
221544_s_at,0.01125784,5.25E-04,8.08796,MED16
232588_at,0.01125784,5.25E-04,8.08782,STAG1
219752_at,0.0112613,5.26E-04,8.08649,RASAL1
221605_s_at,0.0112613,5.26E-04,8.08628,PIPOX
211446_at,0.01126301,5.26E-04,8.08552,RGSL1
227020_at,0.01127948,5.27E-04,8.0829,YPEL2
203889_at,0.01129193,5.28E-04,8.08043,SCG5
222031_at,0.01129193,5.28E-04,8.07967,LOC389906
49306_at,0.01129193,5.28E-04,8.07944,RASSF4
1557639_at,0.01129193,5.28E-04,8.07914,NFIA
236070_at,0.01129216,5.29E-04,8.07856,C2orf81
1560116_a_at,0.01129391,5.29E-04,8.07779,NEDD1
1555091_at,0.01129413,5.29E-04,8.07721,PPM1F
1558624_at,0.0112991,5.30E-04,8.07556,
201469_s_at,0.0112991,5.30E-04,8.07533,SHC1
225673_at,0.0112991,5.30E-04,8.07494,MYADM
244001_at,0.01132148,5.31E-04,8.07119,NAP1L4
215297_at,0.01132148,5.31E-04,8.07105,LOC441204
239651_at,0.01132365,5.32E-04,8.07023,ANAPC5
227667_at,0.0113489,5.33E-04,8.06625,CUEDC1
202600_s_at,0.0113489,5.33E-04,8.06589,NRIP1
233305_at,0.0113489,5.33E-04,8.06544,NECAB1
229545_at,0.01136104,5.34E-04,8.06339,FERMT1
235796_at,0.01136544,5.35E-04,8.06192,
215859_at,0.01136544,5.35E-04,8.06174,NCLN
1556849_at,0.01136644,5.35E-04,8.06107,
209282_at,0.01136733,5.35E-04,8.06042,PRKD2
209113_s_at,0.01139936,5.37E-04,8.05575,HMG20B
216132_at,0.01139936,5.37E-04,8.05536,
227996_at,0.01142175,5.39E-04,8.05205,FARP1
243308_at,0.01143522,5.39E-04,8.04984,
230401_at,0.01143701,5.40E-04,8.04908,
220696_at,0.01144852,5.40E-04,8.04712,
211466_at,0.01145152,5.41E-04,8.04574,NFIB
226676_at,0.01145152,5.41E-04,8.04566,ZNF521
217885_at,0.01146978,5.42E-04,8.04287,IPO9
211911_x_at,0.01147427,5.42E-04,8.04177,HLA-B
204499_at,0.011523,5.45E-04,8.03493,AGTPBP1
202998_s_at,0.011523,5.45E-04,8.03473,LOXL2
241595_at,0.01152795,5.46E-04,8.03358,
242248_at,0.01153002,5.46E-04,8.03278,PHKB
243874_at,0.01153825,5.47E-04,8.03072,
1562516_at,0.01153825,5.47E-04,8.03069,WDR60
243481_at,0.01154799,5.47E-04,8.02896,RHOJ
238635_at,0.0115532,5.48E-04,8.02747,TMEM267
228195_at,0.0115532,5.48E-04,8.02704,C2orf88
202020_s_at,0.0115532,5.48E-04,8.0267,LANCL1
1556416_s_at,0.01155829,5.49E-04,8.02554,
202758_s_at,0.01155847,5.49E-04,8.02498,RFXANK
216524_x_at,0.01156436,5.50E-04,8.02254,
218686_s_at,0.01156436,5.50E-04,8.02245,RHBDF1
222581_at,0.01156436,5.50E-04,8.02222,XPR1
211679_x_at,0.01156436,5.50E-04,8.0221,GABBR2
1554340_a_at,0.01158432,5.51E-04,8.01885,DRAXIN
1565868_at,0.01158432,5.52E-04,8.0186,CD44
207110_at,0.01158497,5.52E-04,8.01798,LOC100996843///KCNJ18///KCNJ12
1554954_at,0.01161613,5.53E-04,8.01367,TSPEAR-AS2
205097_at,0.01161859,5.54E-04,8.01231,SLC26A2
242191_at,0.01161859,5.54E-04,8.01224,
236764_at,0.01161859,5.54E-04,8.01175,
216684_s_at,0.01163368,5.55E-04,8.00939,SS18
243824_at,0.01164216,5.56E-04,8.00783,LINC01410
208123_at,0.01164821,5.56E-04,8.00657,KCNB2
243105_at,0.01165467,5.57E-04,8.00525,
229461_x_at,0.01166679,5.58E-04,8.00247,NEGR1
238070_at,0.01166679,5.58E-04,8.00244,CHD1L
234765_at,0.01166679,5.58E-04,8.00218,
239295_at,0.01167064,5.58E-04,8.00093,SRSF12
239131_at,0.01167064,5.59E-04,8.00065,
1562697_at,0.01167542,5.59E-04,7.99954,LOC339988
209511_at,0.01168753,5.60E-04,7.99708,POLR2F
215357_s_at,0.01168753,5.60E-04,7.99701,POLDIP3
238143_at,0.01170336,5.61E-04,7.99458,LYPD8
238913_at,0.01170714,5.61E-04,7.99359,
